"feature","subject","comparison","n_pre","n_post","W_statistic","p_raw","note","p_BY","label"
"Schlegel21_HNR","Paul and John","Pre vs Early Post",33,20,184,0.00758880474327458,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.12732386374843,"secondary_exploratory"
"Schlegel21_HNR","Paul and John","Pre vs Late Post",33,13,172,0.305543070024132,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"Schlegel21_HNR","Snoop and Dre","Pre vs Early Post",3,30,40,0.778096157026469,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"Schlegel21_HNR","Snoop and Dre","Pre vs Mid Post",3,16,11,0.162250499847232,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"Schlegel21_HNR","Snoop and Dre","Pre vs Late Post",3,85,39,0.0430192275965095,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.568528239282178,"secondary_exploratory"
"Schlegel21_HNR","Tina and Aretha","Pre vs Early Post",29,5,102,0.158490329231731,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"Schlegel21_HNR","Tina and Aretha","Pre vs Late Post",29,375,9327,0.000000000136919009493845,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.0000000106532986428232,"secondary_exploratory"
"Schlegel21_PF","Barry and Stevie","Pre vs Mid Post",14,5,65,0.00631100436884342,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.109950013114331,"secondary_exploratory"
"Schlegel21_PF","Barry and Stevie","Pre vs Late Post",14,29,364,0.0000317818513632504,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.000928773742324875,"secondary_exploratory"
"Schlegel21_PF","Cher and Adele","Pre vs Early Post",49,170,1872,0.00000000445555313179377,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.000000271901620040076,"secondary_exploratory"
"Schlegel21_PF","Cher and Adele","Pre vs Mid Post",49,73,1235,0.00387646273499426,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.0724605656441146,"secondary_exploratory"
"Schlegel21_PF","Cher and Adele","Pre vs Late Post",49,304,1710,4.92066943164719e-18,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1.0938971705502e-15,"secondary_exploratory"
"Schlegel21_PF","Elvis","Pre vs Early Post",25,65,1289,0.0000180239865057798,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.000572407245297094,"secondary_exploratory"
"Schlegel21_PF","Elvis","Pre vs Late Post",25,40,841,0.0000044049138470729,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.000154908230264747,"secondary_exploratory"
"Schlegel21_PF","Michael and Prince","Pre vs Early Post",28,31,87,0.000000144255019421665,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.00000696067831227981,"secondary_exploratory"
"Schlegel21_PF","Michael and Prince","Pre vs Mid Post",28,34,142,0.00000238871654868512,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.0000879808703091439,"secondary_exploratory"
"Schlegel21_PF","Michael and Prince","Pre vs Late Post",28,8,18,0.000373696682461985,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.00915789934322019,"secondary_exploratory"
"Schlegel21_PF","Paul and John","Pre vs Early Post",33,20,444,0.037282549233827,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.507808235661579,"secondary_exploratory"
"Schlegel21_PF","Paul and John","Pre vs Late Post",33,13,231,0.69629181204121,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"Schlegel21_PF","Snoop and Dre","Pre vs Early Post",3,30,39,0.730506281199219,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"Schlegel21_PF","Snoop and Dre","Pre vs Mid Post",3,16,17,0.467396216788382,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"Schlegel21_PF","Snoop and Dre","Pre vs Late Post",3,85,86,0.345794526163814,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"Schlegel21_PF","Tina and Aretha","Pre vs Early Post",29,5,39,0.108295825856432,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"Schlegel21_PF","Tina and Aretha","Pre vs Late Post",29,375,4570,0.152402653437232,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddgfcc_0_std","Barry and Stevie","Pre vs Mid Post",14,5,31,0.745909995805377,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddgfcc_0_std","Barry and Stevie","Pre vs Late Post",14,29,212,0.825622314436282,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddgfcc_0_std","Cher and Adele","Pre vs Early Post",49,170,2089,0.00000010900178590698,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.00000542792627979836,"secondary_exploratory"
"ddgfcc_0_std","Cher and Adele","Pre vs Mid Post",49,73,371,0.000000000000135892491387117,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.0000000000156643378356627,"secondary_exploratory"
"ddgfcc_0_std","Cher and Adele","Pre vs Late Post",49,304,2230,3.52495930551833e-15,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.000000000000548535142407285,"secondary_exploratory"
"ddgfcc_0_std","Elvis","Pre vs Early Post",25,65,783,0.793906706397452,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddgfcc_0_std","Elvis","Pre vs Late Post",25,40,86,0.0000000246631586127411,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.00000131211884877425,"secondary_exploratory"
"ddgfcc_0_std","Michael and Prince","Pre vs Early Post",28,31,304,0.0493292645126899,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.645071756828377,"secondary_exploratory"
"ddgfcc_0_std","Michael and Prince","Pre vs Mid Post",28,34,364,0.114757889269617,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddgfcc_0_std","Michael and Prince","Pre vs Late Post",28,8,94,0.505480131192879,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddgfcc_0_std","Paul and John","Pre vs Early Post",33,20,353,0.679708154348493,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddgfcc_0_std","Paul and John","Pre vs Late Post",33,13,198,0.69629181204121,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddgfcc_0_std","Snoop and Dre","Pre vs Early Post",3,30,45,1,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddgfcc_0_std","Snoop and Dre","Pre vs Mid Post",3,16,15,0.341945163536065,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddgfcc_0_std","Snoop and Dre","Pre vs Late Post",3,85,92,0.420929105692424,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddgfcc_0_std","Tina and Aretha","Pre vs Early Post",29,5,116,0.0365336653490327,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.499795325197097,"secondary_exploratory"
"ddgfcc_0_std","Tina and Aretha","Pre vs Late Post",29,375,10077,0.0000000000000189955995742644,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.00000000000252953642485882,"secondary_exploratory"
"ddmfcc_7_std","Barry and Stevie","Pre vs Mid Post",14,5,51,0.151281069445206,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddmfcc_7_std","Barry and Stevie","Pre vs Late Post",14,29,295,0.0177076639314728,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.266883398564745,"secondary_exploratory"
"ddmfcc_7_std","Cher and Adele","Pre vs Early Post",49,170,2595,0.0000591376432554306,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.00165814069710954,"secondary_exploratory"
"ddmfcc_7_std","Cher and Adele","Pre vs Mid Post",49,73,1237,0.00400714807852846,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.0744562097695834,"secondary_exploratory"
"ddmfcc_7_std","Cher and Adele","Pre vs Late Post",49,304,4552,0.0000125417784938158,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.000407420752851188,"secondary_exploratory"
"ddmfcc_7_std","Elvis","Pre vs Early Post",25,65,973,0.149491662562033,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddmfcc_7_std","Elvis","Pre vs Late Post",25,40,447,0.47900123899421,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddmfcc_7_std","Michael and Prince","Pre vs Early Post",28,31,316,0.0744916653405234,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.919999279202561,"secondary_exploratory"
"ddmfcc_7_std","Michael and Prince","Pre vs Mid Post",28,34,424,0.46632856260524,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddmfcc_7_std","Michael and Prince","Pre vs Late Post",28,8,88,0.371216050346423,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddmfcc_7_std","Paul and John","Pre vs Early Post",33,20,311,0.734260342396976,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddmfcc_7_std","Paul and John","Pre vs Late Post",33,13,281,0.107372682179633,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddmfcc_7_std","Snoop and Dre","Pre vs Early Post",3,30,22,0.158833791702379,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"ddmfcc_7_std","Snoop and Dre","Pre vs Mid Post",3,16,7,0.0650730287753891,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.821121977990053,"secondary_exploratory"
"ddmfcc_7_std","Snoop and Dre","Pre vs Late Post",3,85,43,0.0534156982027272,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.689197036562479,"secondary_exploratory"
"ddmfcc_7_std","Tina and Aretha","Pre vs Early Post",29,5,14,0.00479736385840627,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.0865553474290411,"secondary_exploratory"
"ddmfcc_7_std","Tina and Aretha","Pre vs Late Post",29,375,3826,0.00783363927639264,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.131078072905569,"secondary_exploratory"
"dpncc_1_std","Barry and Stevie","Pre vs Mid Post",14,5,29,0.610611303762428,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_1_std","Barry and Stevie","Pre vs Late Post",14,29,383,0.00000327728018744493,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.000117996462673347,"secondary_exploratory"
"dpncc_1_std","Cher and Adele","Pre vs Early Post",49,170,1985,0.0000000244467042123409,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.00000131181523003802,"secondary_exploratory"
"dpncc_1_std","Cher and Adele","Pre vs Mid Post",49,73,2100,0.104333545722341,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_1_std","Cher and Adele","Pre vs Late Post",49,304,3823,0.0000000455990796227169,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.00000238517064404365,"secondary_exploratory"
"dpncc_1_std","Elvis","Pre vs Early Post",25,65,948,0.223938592221624,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_1_std","Elvis","Pre vs Late Post",25,40,297,0.00632365214652739,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.109950013114331,"secondary_exploratory"
"dpncc_1_std","Michael and Prince","Pre vs Early Post",28,31,600,0.0119983189695725,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.189884418087182,"secondary_exploratory"
"dpncc_1_std","Michael and Prince","Pre vs Mid Post",28,34,811,0.00000222876965769616,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.0000830728395537817,"secondary_exploratory"
"dpncc_1_std","Michael and Prince","Pre vs Late Post",28,8,115,0.924213611458292,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_1_std","Paul and John","Pre vs Early Post",33,20,497,0.00224929649066349,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.0445889656174669,"secondary_exploratory"
"dpncc_1_std","Paul and John","Pre vs Late Post",33,13,216,0.98053698878933,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_1_std","Snoop and Dre","Pre vs Early Post",3,30,7,0.0188572437684954,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.282159855766255,"secondary_exploratory"
"dpncc_1_std","Snoop and Dre","Pre vs Mid Post",3,16,0,0.00860452167922726,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.14169198136167,"secondary_exploratory"
"dpncc_1_std","Snoop and Dre","Pre vs Late Post",3,85,16,0.0106984026637226,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.172969109786501,"secondary_exploratory"
"dpncc_1_std","Tina and Aretha","Pre vs Early Post",29,5,80,0.733566479749031,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_1_std","Tina and Aretha","Pre vs Late Post",29,375,7022,0.00893345264514895,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.145950203201712,"secondary_exploratory"
"dpncc_8_std","Barry and Stevie","Pre vs Mid Post",14,5,41,0.610611303762428,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_8_std","Barry and Stevie","Pre vs Late Post",14,29,279,0.0503526667194374,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.65707423347768,"secondary_exploratory"
"dpncc_8_std","Cher and Adele","Pre vs Early Post",49,170,4856,0.0772391886768905,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.946420918958671,"secondary_exploratory"
"dpncc_8_std","Cher and Adele","Pre vs Mid Post",49,73,1633,0.418234630765133,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_8_std","Cher and Adele","Pre vs Late Post",49,304,8458,0.127793292789999,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_8_std","Elvis","Pre vs Early Post",25,65,997,0.0974126234312469,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_8_std","Elvis","Pre vs Late Post",25,40,614,0.125909415716958,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_8_std","Michael and Prince","Pre vs Early Post",28,31,246,0.00442525994317715,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.0810158904219311,"secondary_exploratory"
"dpncc_8_std","Michael and Prince","Pre vs Mid Post",28,34,314,0.0223473388930691,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.325767893836514,"secondary_exploratory"
"dpncc_8_std","Michael and Prince","Pre vs Late Post",28,8,94,0.505480131192879,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_8_std","Paul and John","Pre vs Early Post",33,20,219,0.0426002445554853,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.565189224496699,"secondary_exploratory"
"dpncc_8_std","Paul and John","Pre vs Late Post",33,13,219,0.922263625056274,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_8_std","Snoop and Dre","Pre vs Early Post",3,30,33,0.471427760265031,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_8_std","Snoop and Dre","Pre vs Mid Post",3,16,21,0.779854617964919,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_8_std","Snoop and Dre","Pre vs Late Post",3,85,118,0.836047936659343,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_8_std","Tina and Aretha","Pre vs Early Post",29,5,100,0.189211842696677,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"dpncc_8_std","Tina and Aretha","Pre vs Late Post",29,375,5287,0.804448720476011,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"e_std","Barry and Stevie","Pre vs Mid Post",14,5,40,0.676957076821291,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
